"Participant_ID","Problem","ProblemStep","TrueTimeSpentOnStep"
"thinkaloudp0101",1,0,15.3180003166199
"thinkaloudp0101",2,0,12.8660001754761
"thinkaloudp0101",3,0,15.5260000228882
"thinkaloudp0101",4,0,5.40499997138977
"thinkaloudp0101",5,0,26.885999917984
"thinkaloudp0101",6,0,25.3139998912811
"thinkaloudp0101",7,0,41.114000082016
"thinkaloudp0101",8,0,44.4809999465942
"thinkaloudp0101",9,0,21.2170000076294
"thinkaloudp0115",1,0,13.9830000400543
"thinkaloudp0115",2,0,9.27700018882751
"thinkaloudp0115",3,0,7.07200002670288
"thinkaloudp0115",4,0,16.7189998626709
"thinkaloudp0115",5,0,15.6629998683929
"thinkaloudp0115",6,0,10.9799997806549
"thinkaloudp0115",7,0,18.3540000915527
"thinkaloudp0115",8,0,13.3940000534058
"thinkaloudp0115",9,0,12.7150001525879
"thinkaloudp0207",1,0,19.0750000476837
"thinkaloudp0207",2,0,16.2769999504089
"thinkaloudp0207",3,0,10.8150000572205
"thinkaloudp0207",4,0,25.1049997806549
"thinkaloudp0207",5,0,103.006000041962
"thinkaloudp0207",6,0,40.5390000343323
"thinkaloudp0207",7,0,14.9860000610352
"thinkaloudp0207",8,0,17.2140002250671
"thinkaloudp0207",9,0,10.2269997596741
"thinkaloudp0213",1,0,14.6549999713898
"thinkaloudp0213",2,0,9.62899994850159
"thinkaloudp0213",3,0,9.78600001335144
"thinkaloudp0213",4,0,7.11500024795532
"thinkaloudp0213",5,0,15.2599999904633
"thinkaloudp0213",6,0,15.9640002250671
"thinkaloudp0213",7,0,14.9850001335144
"thinkaloudp0213",8,0,14.4120001792908
"thinkaloudp0213",9,0,16.8249998092651
"thinkaloudp0216",1,0,19.3229999542236
"thinkaloudp0216",2,0,13.3720002174377
"thinkaloudp0216",3,0,21.0830001831055
"thinkaloudp0216",4,0,29.5220000743866
"thinkaloudp0216",5,0,19.5620000362396
"thinkaloudp0216",6,0,14.5469999313354
"thinkaloudp0216",7,0,21.1190001964569
"thinkaloudp0216",8,0,14.2330000400543
"thinkaloudp0216",9,0,16.6059999465942
"thinkaloudp0217",1,0,12.3870000839233
"thinkaloudp0217",2,0,11.6540002822876
"thinkaloudp0217",3,0,5.08400011062622
"thinkaloudp0217",4,0,11.7360000610352
"thinkaloudp0217",5,0,21.438000202179
"thinkaloudp0217",6,0,6.42500019073486
"thinkaloudp0217",7,0,8.19799995422363
"thinkaloudp0217",8,0,5.8289999961853
"thinkaloudp0217",9,0,8.61100006103516
"thinkaloudp0403",1,0,10.5640001296997
"thinkaloudp0403",2,0,9.51600027084351
"thinkaloudp0403",3,0,5.52300000190735
"thinkaloudp0403",4,0,31.6419999599457
"thinkaloudp0403",5,0,11.4350001811981
"thinkaloudp0403",6,0,16.5120000839233
"thinkaloudp0403",7,0,15.5750000476837
"thinkaloudp0403",8,0,12.4609999656677
"thinkaloudp0403",9,0,10.2560000419617
"thinkaloudp0405",1,0,28.8090000152588
"thinkaloudp0405",2,0,23.5830001831055
"thinkaloudp0405",3,0,13.3369998931885
"thinkaloudp0405",4,0,33.3849999904633
"thinkaloudp0405",5,0,34.1600000858307
"thinkaloudp0405",6,0,27.0590000152588
"thinkaloudp0405",7,0,31.7489998340607
"thinkaloudp0405",8,0,29.6259999275208
"thinkaloudp0405",9,0,30.5799999237061
"thinkaloudp0421",1,0,9.05999994277954
"thinkaloudp0421",2,0,8.81900024414062
"thinkaloudp0421",3,0,9.19599986076355
"thinkaloudp0421",4,0,12.7809998989105
"thinkaloudp0421",5,0,9.44000005722046
"thinkaloudp0421",6,0,14.7440001964569
"thinkaloudp0421",7,0,21.9980001449585
"thinkaloudp0421",8,0,11.1389999389648
"thinkaloudp0421",9,0,17.4030001163483
"thinkaloudp0501",1,0,22.5409998893738
"thinkaloudp0501",2,0,15.2729997634888
"thinkaloudp0501",3,0,11.4590001106262
"thinkaloudp0501",4,0,25.375
"thinkaloudp0501",5,0,21.5240001678467
"thinkaloudp0501",6,0,10.603000164032
"thinkaloudp0501",7,0,22.7569999694824
"thinkaloudp0501",8,0,14.2379999160767
"thinkaloudp0501",9,0,21.4970002174377
"thinkaloudp0606",1,0,38.7999999523163
"thinkaloudp0606",2,0,17.7119998931885
"thinkaloudp0606",3,0,20.1749999523163
"thinkaloudp0606",4,0,48.8899998664856
"thinkaloudp0606",5,0,48.1199998855591
"thinkaloudp0606",6,0,28.5390000343323
"thinkaloudp0606",7,0,27.2580001354218
"thinkaloudp0606",8,0,32.3719997406006
"thinkaloudp0606",9,0,20.8439998626709
"thinkaloudp0701",1,0,24.3229999542236
"thinkaloudp0701",2,0,14.6909999847412
"thinkaloudp0701",3,0,12.4869999885559
"thinkaloudp0701",4,0,35.5160000324249
"thinkaloudp0701",5,0,57.4360001087189
"thinkaloudp0701",6,0,11.7880001068115
"thinkaloudp0701",7,0,17.3619999885559
"thinkaloudp0701",8,0,18.3060002326965
"thinkaloudp0701",9,0,15.9210000038147
"thinkaloudp0802",1,0,16.9170002937317
"thinkaloudp0802",2,0,15.3760001659393
"thinkaloudp0802",3,0,5.17799997329712
"thinkaloudp0802",4,0,10.2179999351501
"thinkaloudp0802",5,0,15.7149999141693
"thinkaloudp0802",6,0,18.4879999160767
"thinkaloudp0802",7,0,16.2779998779297
"thinkaloudp0802",8,0,10.3340001106262
