"Participant_ID","State","Rule_type","Rule_order","pre_test_level","Pre_Test","Post_Test","Problem","ProblemStep","TrueTimeSpentOnStep","TimeSpent","Gain","n_gain"
"thinkaloudp0101","Follow_wrong","R4",1,"low",0,0.67,4,1,111.273999929428,5.045,0.67,0.67
"thinkaloudp0101","Reading_question","R1",1,"low",0,0.67,1,1,9.53199982643127,4.045,0.67,0.67
"thinkaloudp0101","Reading_question","R1",2,"low",0,0.67,2,1,13.1280000209808,7.821,0.67,0.67
"thinkaloudp0101","Reading_question","R1",3,"low",0,0.67,3,1,8.58100032806396,6.176,0.67,0.67
"thinkaloudp0101","Reading_question","R4",3,"low",0,0.67,5,1,43.7129998207092,6.975,0.67,0.67
"thinkaloudp0101","Reading_question","R2",3,"low",0,0.67,3,2,5.2999997138977,2.215,0.67,0.67
"thinkaloudp0101","Reading_question","R3",1,"low",0,0.67,1,3,21.2179999351501,3.335,0.67,0.67
"thinkaloudp0101","Reading_question","R5",2,"low",0,0.67,5,3,29.2690000534058,2.205,0.67,0.67
"thinkaloudp0101","Reading_question","R4",1,"low",0,0.67,4,1,111.273999929428,24.892,0.67,0.67
"thinkaloudp0101","Reading_question","R3",3,"low",0,0.67,3,3,5.94900012016296,1.206,0.67,0.67
"thinkaloudp0101","Reading_question","R3",6,"low",0,0.67,9,1,12.0539999008179,4.181,0.67,0.67
"thinkaloudp0101","Reading_question","R3",4,"low",0,0.67,7,1,29.0340001583099,15.194,0.67,0.67
"thinkaloudp0101","Reading_question","R4",6,"low",0,0.67,6,2,5.64600014686584,1.897,0.67,0.67
"thinkaloudp0101","Reading_question","R6",4,"low",0,0.67,9,3,14.7829999923706,5.224,0.67,0.67
"thinkaloudp0101","Reading_question","R3",2,"low",0,0.67,2,3,22.0980000495911,2.217,0.67,0.67
"thinkaloudp0101","Reading_question","R4",5,"low",0,0.67,6,1,13.0139999389648,4.147,0.67,0.67
"thinkaloudp0101","Reading_question","R2",1,"low",0,0.67,1,2,18.4700000286102,3.567,0.67,0.67
"thinkaloudp0101","Reading_question","R5",1,"low",0,0.67,4,3,65.654000043869,13.894,0.67,0.67
"thinkaloudp0101","Reading_question","R6",1,"low",0,0.67,7,2,28.6519999504089,14.199,0.67,0.67
"thinkaloudp0101","Reading_question","R6",2,"low",0,0.67,8,2,16.6189999580383,4.644,0.67,0.67
"thinkaloudp0101","Reading_question","R3",5,"low",0,0.67,8,1,24.1400001049042,9.949,0.67,0.67
"thinkaloudp0101","Reading_question","R4",2,"low",0,0.67,4,2,9.87800002098083,0.962,0.67,0.67
"thinkaloudp0101","Reading_question","R5",3,"low",0,0.67,6,3,24.9730000495911,3.991,0.67,0.67
"thinkaloudp0101","Reading_question","R2",2,"low",0,0.67,2,2,7.86299991607666,1.314,0.67,0.67
"thinkaloudp0101","Reading_question","R6",3,"low",0,0.67,9,2,15.4170002937317,5.396,0.67,0.67
"thinkaloudp0101","Reading_question","R4",4,"low",0,0.67,5,2,11.1220002174377,2.424,0.67,0.67
"thinkaloudp0101","Rule_discovery","R4",3,"low",0,0.67,5,1,43.7129998207092,5.615,0.67,0.67
"thinkaloudp0101","Rule_discovery","R4",1,"low",0,0.67,4,1,111.273999929428,23.735,0.67,0.67
"thinkaloudp0101","Rule_discovery","R5",3,"low",0,0.67,6,3,24.9730000495911,1.869,0.67,0.67
"thinkaloudp0101","Rule_discovery","R5",1,"low",0,0.67,4,3,65.654000043869,18.064,0.67,0.67
"thinkaloudp0101","Rule_following","R3",1,"low",0,0.67,1,3,21.2179999351501,16.585,0.67,0.67
"thinkaloudp0101","Rule_following","R5",2,"low",0,0.67,5,3,29.2690000534058,26.382,0.67,0.67
"thinkaloudp0101","Rule_following","R6",2,"low",0,0.67,8,2,16.6189999580383,11.145,0.67,0.67
"thinkaloudp0101","Rule_following","R4",2,"low",0,0.67,4,2,9.87800002098083,8.282,0.67,0.67
"thinkaloudp0101","Rule_following","R2",1,"low",0,0.67,1,2,18.4700000286102,14.267,0.67,0.67
"thinkaloudp0101","Rule_following","R2",2,"low",0,0.67,2,2,7.86299991607666,5.867,0.67,0.67
"thinkaloudp0101","Rule_following","R4",3,"low",0,0.67,5,1,43.7129998207092,15.592,0.67,0.67
"thinkaloudp0101","Rule_following","R1",1,"low",0,0.67,1,1,9.53199982643127,4.999,0.67,0.67
"thinkaloudp0101","Rule_following","R4",5,"low",0,0.67,6,1,13.0139999389648,8.063,0.67,0.67
"thinkaloudp0101","Rule_following","R5",3,"low",0,0.67,6,3,24.9730000495911,3.37,0.67,0.67
"thinkaloudp0101","Rule_following","R3",4,"low",0,0.67,7,1,29.0340001583099,13.165,0.67,0.67
"thinkaloudp0101","Rule_following","R6",4,"low",0,0.67,9,3,14.7829999923706,9.152,0.67,0.67
"thinkaloudp0101","Rule_following","R2",3,"low",0,0.67,3,2,5.2999997138977,2.37,0.67,0.67
"thinkaloudp0101","Rule_following","R1",2,"low",0,0.67,2,1,13.1280000209808,4.688,0.67,0.67
"thinkaloudp0101","Rule_following","R4",6,"low",0,0.67,6,2,5.64600014686584,3.108,0.67,0.67
"thinkaloudp0101","Rule_following","R3",5,"low",0,0.67,8,1,24.1400001049042,13.537,0.67,0.67
"thinkaloudp0101","Rule_following","R4",4,"low",0,0.67,5,2,11.1220002174377,7.966,0.67,0.67
